"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 17 11:48:07 IDT 2022","Mon Oct 17 11:48:07 IDT 2022","417","TestCases","test_Web","Test_Web","","","Test 04: Filtering Users","This test filters users by search"
"passed","Mon Oct 17 11:48:04 IDT 2022","Mon Oct 17 11:48:05 IDT 2022","967","TestCases","test_Web","Test_Web","","","Test 04: Filtering Users","This test filters users by search"
"skipped","Mon Oct 17 11:48:10 IDT 2022","Mon Oct 17 11:48:10 IDT 2022","0","TestCases","test_Web","Test_Web","","","Test 06: Visual Testing","This Visual test of users table"
"passed","Mon Oct 17 11:48:00 IDT 2022","Mon Oct 17 11:48:00 IDT 2022","168","TestCases","test_Web","Test_Web","","","Test 02: Verify upper menu buttons","This test verifies upper menu buttons are displayed"
"passed","Mon Oct 17 11:48:03 IDT 2022","Mon Oct 17 11:48:04 IDT 2022","1013","TestCases","test_Web","Test_Web","","","Test 04: Filtering Users","This test filters users by search"
"passed","Mon Oct 17 11:48:00 IDT 2022","Mon Oct 17 11:48:03 IDT 2022","2495","TestCases","test_Web","Test_Web","","","Test 03: Verify New User","This test creates and verifies new users"
"passed","Mon Oct 17 11:48:07 IDT 2022","Mon Oct 17 11:48:08 IDT 2022","939","TestCases","test_Web","Test_Web","","","Test 04: Filtering Users","This test filters users by search"
"passed","Mon Oct 17 11:48:06 IDT 2022","Mon Oct 17 11:48:06 IDT 2022","417","TestCases","test_Web","Test_Web","","","Test 04: Filtering Users","This test filters users by search"
"passed","Mon Oct 17 11:47:58 IDT 2022","Mon Oct 17 11:47:59 IDT 2022","1060","TestCases","test_Web","Test_Web","","","Test 01: Verify Login Grafana","This test verifies a successful login to grafana"
"passed","Mon Oct 17 11:48:09 IDT 2022","Mon Oct 17 11:48:10 IDT 2022","1316","TestCases","test_Web","Test_Web","","","Test 05: Delete User","This test deletes users and verifies"
